trial_number,pareto,multi_client_minimum_ratio,multi_client_maximum_ratio,min_filling_ratio,total_runtime_s,final_pallets,n_multi,n_mono,multi_client_ratio,mono_iters,mono_improvements,mono_stagnation,mono_stag_pct,mono_elapsed_s,mono_pal_delta,multi_iters,multi_improvements,multi_stagnation,multi_stag_pct,multi_elapsed_s,multi_pal_delta,pp_fill_improvements,pp_fill_stagnation,pp_fill_elapsed_s,pp_p2_improvements,pp_p2_stagnation,pp_p2_elapsed_s
132,0,0.0451,0.0649,0.4529,747.8,4190,345,3845,0.0823,138184,1134,123440,89.3,600.8,206,6530,33,6229,95.4,94.5,33,0,0,0,0,0,0
133,0,0.0949,0.1723,0.2699,786.2,4038,448,3590,0.1109,138184,1134,123440,89.3,598.8,206,7442,35,7134,95.9,126.5,35,0,0,0,0,0,0
134,1,0.084,0.3093,0.2397,772.1,4070,411,3659,0.101,138184,1134,123440,89.3,600.1,206,6722,29,6408,95.3,113.5,29,0,0,0,0,0,0
135,0,0.1725,0.3978,0.3854,867.0,3863,752,3111,0.1947,138223,1134,123479,89.3,544.6,206,11678,37,11292,96.7,239.5,37,0,0,0,0,0,0
136,0,0.1379,0.3329,0.2699,850.1,3939,600,3339,0.1523,138187,1134,123443,89.3,587.2,206,9495,33,9306,98.0,183.6,33,0,0,0,0,0,0
137,0,0.0251,0.2201,0.4259,906.4,3854,756,3098,0.1962,138222,1134,123478,89.3,565.6,206,11582,39,11097,95.8,252.2,39,0,0,0,0,0,0
138,0,0.2193,0.2586,0.3733,947.5,3819,891,2928,0.2333,138225,1134,123481,89.3,547.9,206,13038,43,12623,96.8,306.3,43,0,0,0,0,0,0
139,1,0.1228,0.347,0.2847,834.1,3967,554,3413,0.1397,138179,1134,123435,89.3,598.5,206,8765,32,8561,97.7,162.0,33,0,0,0,0,0,0
140,1,0.0396,0.2601,0.3888,862.5,3909,608,3301,0.1555,138187,1134,123443,89.3,593.9,206,9881,36,9547,96.6,189.9,36,0,0,0,0,0,0
141,0,0.0572,0.2814,0.3888,865.1,3909,609,3300,0.1558,138184,1134,123440,89.3,593.9,206,9914,36,9571,96.5,190.4,36,0,0,0,0,0,0
142,1,0.0949,0.3306,0.4829,995.0,3773,1022,2751,0.2709,138230,1134,123486,89.3,513.0,206,14194,55,13446,94.7,376.5,56,0,0,0,0,0,0
143,1,0.1228,0.3481,0.3282,834.5,3960,561,3399,0.1417,138176,1134,123432,89.3,594.3,206,9152,31,8947,97.8,166.0,32,0,0,0,0,0,0
144,0,0.2203,0.3497,0.5202,1126.1,3745,1272,2473,0.3397,138235,1134,123491,89.3,505.7,206,16216,56,15608,96.3,487.5,59,0,0,0,0,0,0
145,0,0.1725,0.2713,0.2507,909.9,3883,732,3151,0.1885,138181,1134,123437,89.3,586.6,206,10670,38,10181,95.4,238.1,38,0,0,0,0,0,0
146,0,0.1539,0.1737,0.2054,880.0,3906,656,3250,0.1679,138218,1134,123474,89.3,590.0,206,9826,40,9324,94.9,205.3,40,0,0,0,0,0,0
147,1,0.2149,0.3277,0.5383,1115.7,3751,1237,2514,0.3298,138235,1134,123491,89.3,515.5,206,15959,52,15220,95.4,468.5,56,0,0,0,0,0,0
148,0,0.2224,0.4371,0.3031,977.2,3818,904,2914,0.2368,138218,1134,123474,89.3,561.9,206,12545,42,12137,96.7,312.9,42,0,0,0,0,0,0
149,1,0.0489,0.2439,0.3348,801.3,4000,477,3523,0.1192,138185,1134,123441,89.3,593.4,206,8085,32,7654,94.7,141.0,32,0,0,0,0,0,0
150,1,0.1987,0.2848,0.4422,969.5,3814,898,2916,0.2354,138219,1134,123475,89.3,559.2,206,13779,46,13342,96.8,310.6,46,0,0,0,0,0,0
151,1,0.0556,0.254,0.3949,878.2,3901,623,3278,0.1597,138199,1134,123455,89.3,593.7,206,10238,42,9729,95.0,201.7,42,0,0,0,0,0,0
152,1,0.0585,0.1415,0.3837,826.7,3951,567,3384,0.1435,138193,1134,123449,89.3,580.0,206,9396,31,9173,97.6,170.8,31,0,0,0,0,0,0
153,1,0.0493,0.1294,0.3282,782.2,4027,447,3580,0.111,138202,1134,123458,89.3,588.2,206,7775,33,7576,97.4,128.6,33,0,0,0,0,0,0
154,1,0.153,0.3877,0.4813,990.1,3771,1029,2742,0.2729,138242,1134,123498,89.3,503.4,206,14354,54,13757,95.8,382.5,55,0,0,0,0,0,0
155,0,0.1662,0.3904,0.2397,875.8,3890,694,3196,0.1784,138208,1134,123464,89.3,572.8,206,10158,35,9778,96.3,222.3,35,0,0,0,0,0,0
156,1,0.1397,0.2072,0.4828,923.4,3832,826,3006,0.2156,138222,1134,123478,89.3,548.8,206,12557,46,11987,95.5,282.2,46,0,0,0,0,0,0
157,1,0.0493,0.1294,0.234,712.5,4187,294,3893,0.0702,138185,1134,123441,89.3,592.3,206,4885,23,4714,96.5,74.7,23,0,0,0,0,0,0
158,1,0.0396,0.1972,0.3888,847.5,3914,602,3312,0.1538,138217,1134,123473,89.3,584.5,206,9767,36,9439,96.6,184.3,36,0,0,0,0,0,0
159,0,0.2279,0.4634,0.249,951.5,3816,920,2896,0.2411,138226,1134,123482,89.3,536.0,206,12488,42,11872,95.1,317.7,42,0,0,0,0,0,0
160,1,0.0964,0.3396,0.4663,938.2,3790,941,2849,0.2483,138237,1134,123493,89.3,507.9,206,13445,49,12866,95.7,333.7,50,0,0,0,0,0,0
161,1,0.0729,0.2022,0.4663,895.1,3839,803,3036,0.2092,138220,1134,123476,89.3,539.5,206,12351,44,11773,95.3,266.7,44,0,0,0,0,0,0
