trial_number,pareto,multi_client_minimum_ratio,multi_client_maximum_ratio,min_filling_ratio,total_runtime_s,final_pallets,n_multi,n_mono,multi_client_ratio,mono_iters,mono_improvements,mono_stagnation,mono_stag_pct,mono_elapsed_s,mono_pal_delta,multi_iters,multi_improvements,multi_stagnation,multi_stag_pct,multi_elapsed_s,multi_pal_delta,pp_fill_improvements,pp_fill_stagnation,pp_fill_elapsed_s,pp_p2_improvements,pp_p2_stagnation,pp_p2_elapsed_s
162,0,0.1288,0.1486,0.2906,815.5,3955,571,3384,0.1444,138217,1134,123473,89.3,573.8,206,9008,31,8791,97.6,168.3,31,0,0,0,0,0,0
163,1,0.1158,0.3408,0.2699,790.9,3991,524,3467,0.1313,138217,1134,123473,89.3,576.6,206,8403,27,8280,98.5,148.9,27,0,0,0,0,0,0
164,1,0.0496,0.2521,0.2261,718.5,4192,292,3900,0.0697,138178,1134,123434,89.3,598.4,206,4847,23,4580,94.5,73.7,23,0,0,0,0,0,0
165,1,0.0496,0.2521,0.2847,753.1,4094,365,3729,0.0892,138181,1134,123437,89.3,595.2,206,6231,37,5920,95.0,106.6,37,0,0,0,0,0,0
166,0,0.084,0.2651,0.4395,902.8,3833,828,3005,0.216,138218,1134,123474,89.3,529.0,206,13037,44,12626,96.8,284.2,44,0,0,0,0,0,0
167,1,0.0539,0.287,0.2294,725.4,4168,315,3853,0.0756,138186,1134,123442,89.3,596.7,206,5165,24,4935,95.5,81.4,24,0,0,0,0,0,0
168,1,0.0489,0.2439,0.3348,798.2,4000,477,3523,0.1192,138176,1134,123432,89.3,591.8,206,8080,32,7649,94.7,140.8,32,0,0,0,0,0,0
169,1,0.084,0.3197,0.2397,760.2,4070,411,3659,0.101,138186,1134,123442,89.3,588.2,206,6755,29,6441,95.4,113.0,29,0,0,0,0,0,0
170,1,0.0539,0.1258,0.3837,814.9,3970,540,3430,0.136,138187,1134,123443,89.3,583.6,206,8999,31,8796,97.7,158.3,31,0,0,0,0,0,0
171,0,0.2042,0.392,0.3053,921.7,3838,837,3001,0.2181,138219,1134,123475,89.3,552.5,206,12243,42,11661,95.2,278.4,42,0,0,0,0,0,0
172,1,0.0272,0.2223,0.2906,765.3,4073,387,3686,0.095,138182,1134,123438,89.3,594.4,206,6873,42,6587,95.8,110.2,42,0,0,0,0,0,0
173,1,0.1664,0.3476,0.4459,937.4,3815,873,2942,0.2288,138217,1134,123473,89.3,537.6,206,13417,43,13093,97.6,307.7,43,0,0,0,0,0,0
174,1,0.0955,0.3372,0.3899,844.4,3907,619,3288,0.1584,138213,1134,123469,89.3,575.0,206,10055,37,9710,96.6,191.8,37,0,0,0,0,0,0
175,0,0.2142,0.3954,0.3028,934.7,3826,870,2956,0.2274,138219,1134,123475,89.3,542.7,206,12204,44,11698,95.9,296.9,44,0,0,0,0,0,0
176,1,0.0729,0.2771,0.4835,997.1,3788,975,2813,0.2574,138223,1134,123479,89.3,533.7,206,13752,48,13317,96.8,354.2,48,0,0,0,0,0,0
177,0,0.1564,0.3745,0.5196,1106.6,3738,1316,2422,0.3521,138228,1134,123484,89.3,467.5,206,16833,60,16230,96.4,503.5,62,0,0,0,0,0,0
178,1,0.0396,0.2421,0.3888,857.4,3910,607,3303,0.1552,138175,1134,123431,89.3,588.1,206,9878,36,9493,96.1,189.6,36,0,0,0,0,0,0
179,1,0.0539,0.1258,0.3837,833.3,3970,540,3430,0.136,138181,1134,123437,89.3,596.2,206,8970,31,8767,97.7,160.8,31,0,0,0,0,0,0
180,1,0.0489,0.2844,0.379,849.9,3921,588,3333,0.15,138180,1134,123436,89.3,589.7,206,9715,34,9438,97.1,181.6,34,0,0,0,0,0,0
181,0,0.1107,0.2411,0.4104,895.6,3872,688,3184,0.1777,138219,1134,123475,89.3,582.9,206,10804,45,10264,95.0,231.5,45,0,0,0,0,0,0
182,0,0.0964,0.3396,0.2397,787.1,4039,453,3586,0.1122,138184,1134,123440,89.3,595.5,206,7395,33,7095,95.9,128.5,33,0,0,0,0,0,0
183,0,0.1876,0.3536,0.3053,916.8,3857,795,3062,0.2061,138217,1134,123473,89.3,572.6,206,11770,39,11339,96.3,256.7,39,0,0,0,0,0,0
184,1,0.1107,0.2919,0.4457,923.7,3823,853,2970,0.2231,138236,1134,123492,89.3,536.5,206,13279,44,12933,97.4,297.7,44,0,0,0,0,0,0
185,0,0.1158,0.1932,0.4785,900.9,3854,780,3074,0.2024,138222,1134,123478,89.3,555.9,206,12355,43,11932,96.6,256.7,43,0,0,0,0,0,0
186,1,0.0585,0.2821,0.2507,731.6,4142,330,3812,0.0797,138184,1134,123440,89.3,593.8,206,5517,29,5266,95.5,87.5,29,0,0,0,0,0,0
187,1,0.0566,0.2745,0.3183,779.9,4038,426,3612,0.1055,138176,1134,123432,89.3,596.1,206,7616,34,7370,96.8,121.3,34,0,0,0,0,0,0
188,1,0.0489,0.2439,0.3282,791.7,4016,456,3560,0.1135,138181,1134,123437,89.3,594.7,206,7973,33,7717,96.8,133.9,33,0,0,0,0,0,0
189,1,0.0566,0.2745,0.3315,790.7,4011,462,3549,0.1152,138180,1134,123436,89.3,592.4,206,8019,33,7668,95.6,134.5,33,0,0,0,0,0,0
190,1,0.0397,0.2654,0.4123,882.4,3863,688,3175,0.1781,138219,1134,123475,89.3,564.2,206,10890,48,10347,95.0,232.9,48,0,0,0,0,0,0
191,1,0.1611,0.3868,0.4024,879.8,3858,727,3131,0.1884,138218,1134,123474,89.3,560.5,206,11316,42,10728,94.8,235.6,42,0,0,0,0,0,0
192,0,0.0964,0.3396,0.2126,783.1,4044,451,3593,0.1115,138186,1134,123442,89.3,594.0,206,7415,33,7115,96.0,128.2,33,0,0,0,0,0,0
193,1,0.0585,0.1415,0.363,824.7,3971,536,3435,0.135,138165,1134,123421,89.3,590.8,206,8754,28,8584,98.1,163.7,29,0,0,0,0,0,0
194,0,0.134,0.2127,0.2699,840.8,3951,589,3362,0.1491,138190,1134,123446,89.3,589.3,206,9139,30,8941,97.8,175.5,30,0,0,0,0,0,0
195,0,0.1441,0.1614,0.2131,854.3,3927,629,3298,0.1602,138214,1134,123470,89.3,584.0,206,9659,37,9304,96.3,193.0,37,0,0,0,0,0,0
196,0,0.0949,0.2974,0.2261,784.7,4043,446,3597,0.1103,138184,1134,123440,89.3,594.2,206,7242,33,6936,95.8,126.7,33,0,0,0,0,0,0
197,0,0.1927,0.4393,0.3261,893.9,3853,801,3052,0.2079,138229,1134,123485,89.3,550.5,206,12149,41,11707,96.4,260.3,41,0,0,0,0,0,0
198,1,0.0467,0.176,0.4213,871.6,3889,669,3220,0.172,138213,1134,123469,89.3,574.6,206,10606,43,10155,95.7,215.7,43,0,0,0,0,0,0
199,0,0.1297,0.2071,0.234,833.5,3958,572,3386,0.1445,138185,1134,123441,89.3,589.8,206,8774,30,8563,97.6,171.1,30,0,0,0,0,0,0
