id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
394895009000101;1;122.3;84.6;38.3;42.2;HWL,WHL,HLW,LHW;394895;True;;
394895009001301;2;59.2;16.0;4.6;0.5;all;394895;True;;
383283009002901;2;62.3;51.7;6.0;3.8;all;383283;False;;
463503009000101;2;70.8;62.3;6.0;3.7;all;463503;False;;
383283009001301;2;84.8;6.8;5.0;1.1;all;383283;True;;
394895009000401;1;102.3;87.1;62.2;47.7;HWL,WHL;394895;True;;
383283009000401;1;87.1;62.3;62.2;46.1;HLW,LHW;383283;True;;
383283009001501;1;102.3;87.1;62.2;49.7;HWL,WHL;383283;True;;
394895009000601;1;87.1;62.2;52.3;39.1;WLH,LWH;394895;True;;
383283009002701;1;112.2;62.3;60.2;45.2;HWL,WHL,HLW,LHW;383283;True;;
383283009002801;2;62.3;15.6;6.0;0.9;all;383283;False;;
383283009000101;1;197.9;62.3;62.2;58.4;HWL,WHL,HLW,LHW;383283;True;;
383283009000201;1;197.9;62.2;42.3;97.1;HWL,WHL,WLH,LWH;383283;True;;
383283009001801;1;102.3;70.8;26.2;22.3;HWL,WHL,HLW,LHW;383283;True;;
456447009000201;2;84.6;52.3;6.0;4.4;all;456447;False;;
383283009000501;1;102.3;62.2;31.9;25.1;HWL,WHL;383283;True;;
383283009002501;1;87.1;62.2;47.3;29.2;WLH,LWH;383283;True;;
383283009002201;2;87.0;16.0;4.8;1.8;all;383283;True;;
383283009001701;1;87.1;62.2;42.3;36.4;WLH,LWH;383283;True;;
383283009000801;2;62.3;15.6;6.0;0.9;all;383283;False;;
394895009001201;1;62.3;57.0;38.3;17.5;HWL,WHL,HLW,LHW;394895;True;;
428569009000101;2;92.3;43.2;6.0;4.6;all;428569;False;;
394895009001001;1;122.3;84.6;38.3;42.2;HWL,WHL,HLW,LHW;394895;True;;
383283009001101;1;87.1;82.3;62.2;47.3;HLW,LHW;383283;True;;
383283009001001;2;70.8;62.3;6.0;3.7;all;383283;False;;
394895009000701;2;87.0;16.0;4.8;1.8;all;394895;True;;
383283009001201;1;87.1;62.2;32.3;27.3;WLH,LWH;383283;True;;
383283009000901;2;65.0;47.5;3.2;3.7;all;383283;False;;
394895009000501;1;87.1;62.3;62.2;42.8;HLW,LHW;394895;True;;
394895009001101;1;92.3;84.6;38.3;33.8;HWL,WHL,HLW,LHW;394895;True;;
394895009000301;1;87.1;82.3;62.2;33.2;HLW,LHW;394895;True;;
