id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
409989009000401;2;128.2;16.0;8.6;2.7;all;409989;True;;
442283009000501;2;45.4;16.0;6.6;1.1;all;442283;True;;
413613009001801;1;92.3;87.1;62.2;57.4;HWL,WHL;413613;True;;
412186009000801;2;87.0;16.0;4.8;1.8;all;412186;True;;
414385009001801;2;62.3;10.5;6.0;0.5;all;414385;False;;
397133009002001;2;84.6;62.3;6.0;6.4;all;397133;False;;
414773009000201;1;87.1;62.3;62.2;28.8;HLW,LHW;414773;True;;
414754009002901;2;79.3;14.0;3.2;1.2;all;414754;False;;
414754009004901;1;225.5;62.3;62.2;65.2;HWL,WHL,HLW,LHW;414754;True;;
411267009001301;1;92.3;87.1;62.2;46.5;HWL,WHL;411267;True;;
397133009002601;1;225.5;62.3;62.2;78.8;HWL,WHL,HLW,LHW;397133;True;;
411452009000201;2;128.2;16.0;8.6;2.7;all;411452;True;;
435263009000701;1;84.6;62.2;17.3;21.5;WLH,LWH;435263;True;;
408629009002101;2;62.3;15.6;6.0;0.7;all;408629;False;;
411160009001601;2;62.3;43.2;6.0;3.7;all;411160;False;;
406930009000301;1;73.3;62.2;32.3;24.7;WLH,LWH;406930;True;;
412098009000201;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;412098;True;;
414754009000201;1;87.1;62.3;62.2;38.1;HLW,LHW;414754;True;;
410971009001601;1;87.1;62.2;52.3;40.4;WLH,LWH;410971;True;;
412186009001701;1;211.7;67.2;62.3;72.6;HWL,WHL,WLH,LWH;412186;True;;
412037009001301;1;87.1;62.2;32.3;27.2;WLH,LWH;412037;True;;
407282009000701;1;92.3;87.1;62.2;41.8;HWL,WHL;407282;True;;
419497009001701;2;84.6;52.3;6.1;4.4;all;419497;False;;
413613009000501;1;87.1;62.3;62.2;28.8;HLW,LHW;413613;True;;
414204009000501;1;87.1;62.3;62.2;28.8;HLW,LHW;414204;True;;
412037009000601;1;197.9;62.3;62.2;59.5;HWL,WHL,HLW,LHW;412037;True;;
412098009000901;2;70.8;62.3;6.0;3.7;all;412098;False;;
412186009003001;1;211.7;62.2;52.3;72.2;HWL,WHL,WLH,LWH;412186;True;;
409989009000601;1;87.1;67.2;62.3;37.3;WLH,LWH;409989;True;;
412037009001201;2;65.0;47.5;3.2;3.7;all;412037;False;;
414773009000701;1;70.8;62.3;38.2;17.2;HLW,LHW;414773;True;;
409560009002101;1;92.3;87.1;62.2;41.3;HWL,WHL;409560;True;;
419497009001001;2;102.3;15.6;6.1;1.6;all;419497;False;;
406099009000601;1;87.1;62.3;62.2;36.3;HLW,LHW;406099;True;;
406930009001701;1;70.8;52.3;38.2;19.6;HWL,WHL,HLW,LHW;406930;True;;
411160009001801;2;53.0;51.3;11.0;6.0;all;411160;False;;
411450009003901;2;100.6;16.0;6.6;1.4;all;411450;True;;
411161009000901;1;57.0;52.3;38.2;15.5;HWL,WHL,HLW,LHW;411161;True;;
409802009000301;2;67.3;15.6;8.0;1.0;all;409802;False;;
408629009001301;2;65.0;47.5;3.2;3.7;all;408629;False;;
411452009001401;1;197.9;62.3;62.2;112.5;HWL,WHL,HLW,LHW;411452;True;;
397133009000301;1;92.3;87.1;62.2;46.5;HWL,WHL;397133;True;;
434170009000501;2;70.8;62.3;6.0;3.7;all;434170;False;;
414374009001101;1;98.4;42.3;38.2;22.2;HWL,WHL,HLW,LHW;414374;True;;
404670009001001;1;87.1;62.3;62.2;36.3;HLW,LHW;404670;True;;
406139009000701;2;70.8;62.3;6.0;3.7;all;406139;False;;
435263009001801;1;57.0;52.3;38.2;15.8;HWL,WHL,HLW,LHW;435263;True;;
404515009000601;1;92.3;87.1;63.2;57.4;HWL,WHL;404515;True;;
411452009000701;2;62.3;57.0;6.0;2.9;all;411452;False;;
419497009000201;2;126.0;62.3;6.1;6.4;all;419497;False;;
413621009002601;2;87.0;16.0;4.8;1.8;all;413621;True;;
413613009001201;2;87.0;16.0;4.8;1.8;all;413613;True;;
409560009001501;1;87.1;62.3;62.2;42.6;HLW,LHW;409560;True;;
409560009001401;1;87.1;62.3;62.2;42.6;HLW,LHW;409560;True;;
412102009000101;1;197.9;67.2;62.3;68.3;HWL,WHL,WLH,LWH;412102;True;;
409802009000501;1;87.1;62.2;42.3;22.3;WLH,LWH;409802;True;;
419497009000401;2;62.3;15.6;6.1;0.7;all;419497;False;;
414359009000701;1;87.1;62.3;62.2;27.7;HLW,LHW;414359;True;;
406099009001201;1;92.3;87.1;62.2;41.8;HWL,WHL;406099;True;;
411452009001601;1;92.3;87.1;62.2;41.8;HWL,WHL;411452;True;;
400930009000801;1;122.3;84.6;38.2;41.5;HWL,WHL,HLW,LHW;400930;True;;
410001009000101;1;92.3;87.1;62.2;46.5;HWL,WHL;410001;True;;
409802009000101;1;197.9;62.3;62.2;59.5;HWL,WHL,HLW,LHW;409802;True;;
