id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
360090009001901;1;170.3;62.3;60.2;56.9;HWL,WHL,HLW,LHW;360090;True;;
360090009002001;2;70.8;62.3;6.0;3.7;all;360090;False;;
460643009000101;2;62.3;29.4;7.0;3.7;all;460643;False;;
360090009001701;2;92.3;29.4;6.0;4.6;all;360090;False;;
360090009001801;2;92.3;43.2;6.0;4.6;all;360090;False;;
360090009003201;1;156.5;62.3;62.2;54.3;HWL,WHL,HLW,LHW;360090;True;;
360090009000101;2;70.8;62.3;6.0;3.7;all;360090;False;;
360090009001101;2;70.8;47.3;6.0;2.9;all;360090;False;;
360090009000501;2;92.3;15.6;6.0;1.4;all;360090;False;;
360090009000701;1;92.3;75.1;38.2;59.3;HWL,WHL;360090;True;;
460643009000201;2;62.3;43.2;7.0;3.7;all;460643;False;;
413486009000101;1;87.1;62.2;52.3;47.1;WLH,LWH;413486;True;;
360090009001201;2;70.8;47.3;6.0;2.9;all;360090;False;;
360090009003301;2;62.3;10.5;6.0;0.5;all;360090;False;;
360090009000601;2;92.3;29.4;6.0;9.2;all;360090;False;;
360090009000602;2;92.3;29.4;6.0;9.2;all;360090;False;;
360090009001401;1;211.7;62.2;42.3;99.9;HWL,WHL,WLH,LWH;360090;True;;
360090009001501;2;126.0;42.3;6.0;4.8;all;360090;False;;
360090009000801;2;70.8;52.3;6.0;3.1;all;360090;False;;
360090009000901;2;70.8;52.3;6.0;3.1;all;360090;False;;
360090009001601;2;84.6;42.3;6.0;4.4;all;360090;False;;
360090009002101;2;84.6;62.3;6.0;4.4;all;360090;False;;
360090009001301;1;73.3;62.2;32.3;24.7;WLH,LWH;360090;True;;
360090009001001;2;70.8;52.3;6.0;3.1;all;360090;False;;
360090009002201;2;100.6;16.0;8.6;1.8;all;360090;True;;
360090009002801;2;70.8;52.3;6.0;3.1;all;360090;False;;
360090009000401;2;128.2;16.0;8.6;2.7;all;360090;True;;
