id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
414321009001001;2;62.3;15.6;6.0;0.9;all;414321;False;;
405348009000501;1;87.1;62.3;62.2;37.0;HLW,LHW;405348;True;;
404183009000201;1;122.3;87.1;62.2;68.0;HWL,WHL;404183;True;;
405348009002801;2;82.3;29.4;6.0;4.0;all;405348;False;;
412444009002001;1;122.3;84.6;38.3;36.8;HWL,WHL,HLW,LHW;412444;True;;
411569009000701;1;122.3;57.0;38.2;31.0;HWL,WHL,HLW,LHW;411569;True;;
459556009000101;1;197.9;62.3;62.3;58.4;HWL,WHL,WLH,LWH;459556;True;;
412444009000601;1;92.3;87.1;62.3;57.4;HWL,WHL;412444;True;;
415089009001101;1;92.3;87.1;62.2;54.4;HWL,WHL;415089;True;;
410940009000301;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;410940;True;;
411642009000201;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;411642;True;;
430416009000101;2;82.3;15.6;6.0;1.2;all;430416;False;;
366643009002601;2;66.4;53.0;21.0;4.6;all;366643;False;;
409003009001301;2;84.8;9.8;8.0;1.4;all;409003;True;;
397326009002401;1;211.7;62.3;62.2;92.8;HWL,WHL,HLW,LHW;397326;True;;
409366009000201;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;409366;True;;
414757009000301;1;102.3;87.1;62.2;60.1;HWL,WHL;414757;True;;
404163009000101;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;404163;True;;
419113009001601;2;84.6;47.3;6.0;4.7;all;419113;False;;
411600009002601;2;84.6;62.3;6.1;4.4;all;411600;False;;
409003009001701;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;409003;True;;
434362009000801;1;87.1;62.2;32.3;27.2;WLH,LWH;434362;True;;
414321009000301;1;197.9;62.3;62.2;69.3;HWL,WHL,HLW,LHW;414321;True;;
411987009000901;1;92.3;70.8;38.2;30.2;HWL,WHL,HLW,LHW;411987;True;;
412022009001801;1;82.3;43.2;38.2;20.2;HWL,WHL,HLW,LHW;412022;True;;
407659009000101;1;211.7;62.3;62.2;72.6;HWL,WHL,HLW,LHW;407659;True;;
411987009000401;1;87.1;62.3;62.2;42.6;HLW,LHW;411987;True;;
412418009001101;1;197.9;62.2;42.3;81.1;HWL,WHL,WLH,LWH;412418;True;;
411600009002001;1;87.1;62.3;32.3;26.9;WLH,LWH;411600;True;;
381714009000501;1;87.1;67.2;32.3;29.7;WLH,LWH;381714;True;;
412094009003801;2;84.6;62.3;3.2;1.0;all;412094;False;;
461612009000101;2;62.3;15.6;6.0;0.7;all;461612;False;;
381714009004801;2;84.8;16.0;4.8;4.6;all;381714;True;;
407692009001201;1;102.3;87.1;62.2;48.4;HWL,WHL;407692;True;;
399674009000701;2;87.0;9.8;3.6;0.5;all;399674;True;;
413509009001301;1;102.3;57.0;38.2;25.9;HWL,WHL,HLW,LHW;413509;True;;
460662009000601;2;92.3;29.4;6.0;4.6;all;460662;False;;
411600009002201;2;84.8;11.8;10.0;1.4;all;411600;True;;
413754009001901;2;62.3;15.6;6.0;0.7;all;413754;False;;
411664009000201;1;87.1;62.3;62.2;42.8;HLW,LHW;411664;True;;
400749009001701;2;84.6;62.3;3.2;1.0;all;400749;False;;
462739009000601;2;84.6;62.3;3.2;1.0;all;462739;False;;
429580009000701;2;84.6;62.3;3.2;1.0;all;429580;False;;
460662009001301;2;84.6;42.3;6.0;4.4;all;460662;False;;
394102009001401;1;87.1;62.2;52.3;33.8;WLH,LWH;394102;True;;
366643009002701;2;66.4;53.0;21.0;4.6;all;366643;False;;
413509009000801;1;122.3;87.1;62.2;68.0;HWL,WHL;413509;True;;
414321009000201;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;414321;True;;
407497009001201;1;211.7;62.3;62.3;65.6;HWL,WHL,WLH,LWH;407497;True;;
409003009000701;1;122.3;87.1;62.2;67.7;HWL,WHL;409003;True;;
381714009002201;2;128.2;16.0;8.6;2.7;all;381714;True;;
407795009000601;1;92.3;87.1;62.2;57.4;HWL,WHL;407795;True;;
415089009001901;1;122.3;43.2;38.2;27.0;HWL,WHL,HLW,LHW;415089;True;;
409366009001501;1;122.3;87.1;62.2;51.7;HWL,WHL;409366;True;;
414321009001501;1;102.3;87.1;62.2;49.7;HWL,WHL;414321;True;;
409638009001801;1;92.3;57.0;38.2;25.1;HWL,WHL,HLW,LHW;409638;True;;
411642009002501;2;62.3;15.6;6.0;0.7;all;411642;False;;
381714009001201;1;87.1;67.2;57.3;23.5;WLH,LWH;381714;True;;
391987009003001;1;122.3;84.6;38.2;41.5;HWL,WHL,HLW,LHW;391987;True;;
398744009002701;1;211.7;62.3;62.2;72.0;HWL,WHL,HLW,LHW;398744;True;;
