id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
399846009000401;1;102.3;70.8;38.2;32.5;HWL,WHL,HLW,LHW;399846;True;;
410903009000101;1;195.0;62.3;62.3;59.5;HWL,WHL,WLH,LWH;410903;True;;
427471009001901;2;84.8;9.8;8.0;1.4;all;427471;True;;
469541009000101;2;57.0;47.3;6.0;2.9;all;469541;False;;
469061009000501;2;84.6;62.3;3.2;1.0;all;469061;False;;
405373009000701;2;84.6;62.3;6.0;6.4;all;405373;False;;
382635009003301;2;128.2;16.0;8.6;2.7;all;382635;True;;
359603009001001;1;87.1;62.2;42.3;30.6;WLH,LWH;359603;True;;
407709009002201;2;84.6;62.3;6.0;6.4;all;407709;False;;
401293009000301;1;222.6;62.3;62.2;65.2;HWL,WHL,HLW,LHW;401293;True;;
407020009000701;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;407020;True;;
411255009002001;1;87.1;62.3;62.2;29.1;HLW,LHW;411255;True;;
398688009001901;1;92.3;87.1;62.2;57.4;HWL,WHL;398688;True;;
405373009000301;1;87.3;87.1;62.2;57.5;HWL,WHL;405373;True;;
409522009001501;1;62.3;43.2;38.2;15.1;HWL,WHL,HLW,LHW;409522;True;;
392037009000501;1;87.1;62.2;42.3;39.9;WLH,LWH;392037;True;;
407020009001701;1;92.3;84.6;38.2;33.2;HWL,WHL,HLW,LHW;407020;True;;
411255009000101;1;87.1;82.3;67.2;48.1;HLW,LHW;411255;True;;
382635009004101;1;92.3;87.1;62.2;57.4;HWL,WHL;382635;True;;
388089009002401;1;197.9;62.3;62.2;72.0;HWL,WHL,HLW,LHW;388089;True;;
399846009001901;2;65.0;47.5;3.2;3.7;all;399846;False;;
405373009001901;1;87.3;43.2;38.2;20.4;HWL,WHL,HLW,LHW;405373;True;;
446111009009001;2;53.0;11.0;1.0;4.5;all;446111;False;;
388089009001001;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;388089;True;;
388089009000401;1;87.1;62.3;62.2;49.5;HLW,LHW;388089;True;;
392037009000701;1;84.6;62.3;62.2;34.0;HWL,WHL,HLW,LHW;392037;True;;
382635009007401;2;84.6;62.3;3.2;1.0;all;382635;False;;
398585009000501;1;87.1;62.2;32.3;28.3;WLH,LWH;398585;True;;
456192009000101;2;53.0;51.3;11.0;6.0;all;456192;False;;
405373009000901;1;122.3;87.1;67.2;52.0;HWL,WHL;405373;True;;
415056009002001;1;62.3;43.2;38.2;16.7;HWL,WHL,HLW,LHW;415056;True;;
407709009000701;1;87.1;62.3;62.2;31.6;HLW,LHW;407709;True;;
404088009000901;2;31.6;16.0;6.6;1.1;all;404088;True;;
388089009002801;2;87.0;16.0;4.8;1.8;all;388089;True;;
359603009000801;2;87.0;16.0;4.8;1.8;all;359603;True;;
398688009000401;1;197.9;62.3;62.2;69.3;HWL,WHL,HLW,LHW;398688;True;;
392037009003501;2;87.3;29.4;6.0;4.6;all;392037;False;;
405373009001001;2;87.0;16.0;4.8;1.8;all;405373;True;;
392037009000301;2;70.8;62.3;6.0;3.7;all;392037;False;;
409890009000601;1;87.1;67.2;62.3;31.6;WLH,LWH;409890;True;;
427471009001101;2;59.2;16.0;4.6;0.5;all;427471;True;;
399846009001401;1;87.1;82.3;62.2;47.0;HLW,LHW;399846;True;;
440879009000101;2;62.3;15.6;6.0;0.7;all;440879;False;;
415056009002601;2;45.4;16.0;4.6;0.7;all;415056;True;;
392037009004101;2;87.0;16.0;4.8;1.8;all;392037;True;;
388089009001701;2;124.3;16.0;4.8;1.4;all;388089;True;;
427471009000601;1;92.3;73.3;62.2;32.0;HWL,WHL;427471;True;;
410903009001301;1;62.3;43.2;38.3;15.1;HWL,WHL,HLW,LHW;410903;True;;
388089009000901;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;388089;True;;
409522009001401;1;70.8;62.3;38.2;30.3;HWL,WHL,HLW,LHW;409522;True;;
392037009000601;1;87.1;62.2;32.3;25.3;WLH,LWH;392037;True;;
413436009001501;1;102.3;70.8;38.2;32.8;HWL,WHL,HLW,LHW;413436;True;;
398585009000701;2;87.0;16.0;4.8;1.8;all;398585;True;;
404541009000601;1;211.7;62.2;42.3;89.0;HWL,WHL,WLH,LWH;404541;True;;
392037009001101;1;87.1;62.2;32.3;26.8;WLH,LWH;392037;True;;
469244009000101;2;84.6;52.3;6.0;4.4;all;469244;False;;
413436009001201;1;70.8;62.3;38.2;22.2;HWL,WHL,HLW,LHW;413436;True;;
404541009001401;1;70.8;62.3;38.2;21.9;HWL,WHL,HLW,LHW;404541;True;;
382635009001901;1;92.3;87.1;62.2;44.5;HWL,WHL;382635;True;;
405373009000101;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;405373;True;;
413436009002301;2;73.0;16.0;4.6;0.7;all;413436;True;;
413436009001101;1;70.8;62.3;38.2;30.6;HWL,WHL,HLW,LHW;413436;True;;
