id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
443997009000901;2;73.0;16.0;4.6;0.7;all;443997;True;;
463919009000101;2;98.4;52.3;6.0;4.4;all;463919;False;;
389970009001901;2;84.8;9.8;8.0;1.4;all;389970;True;;
406932009002501;1;87.1;62.3;62.2;42.6;HLW,LHW;406932;True;;
402733009000301;1;122.3;84.6;38.2;41.5;HWL,WHL,HLW,LHW;402733;True;;
440843009000401;2;62.3;15.6;6.0;0.9;all;440843;False;;
443997009001001;1;70.8;62.3;38.2;21.9;HWL,WHL,HLW,LHW;443997;True;;
406927009000201;1;62.3;62.2;35.7;24.0;HWL,WHL;406927;True;;
406932009000201;2;87.0;16.0;4.8;1.8;all;406932;True;;
399825009000701;2;65.0;47.5;3.2;3.7;all;399825;False;;
406927009000101;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;406927;True;;
389970009000501;2;84.6;62.3;6.0;6.4;all;389970;False;;
389970009000901;1;87.1;62.3;62.2;44.4;HLW,LHW;389970;True;;
399164009000801;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;399164;True;;
402733009002501;2;65.0;47.5;3.2;3.7;all;402733;False;;
463206009000101;1;57.0;52.3;38.2;15.5;HWL,WHL,HLW,LHW;463206;True;;
440843009002201;1;75.3;43.2;38.2;17.5;HWL,WHL,HLW,LHW;440843;True;;
440948009000301;1;87.1;62.3;62.2;36.3;HLW,LHW;440948;True;;
399825009000601;2;62.3;15.6;6.0;0.9;all;399825;False;;
413969009000501;1;92.3;57.0;38.2;23.9;HWL,WHL,HLW,LHW;413969;True;;
464069009000101;2;98.4;47.3;6.0;4.0;all;464069;False;;
406927009000901;1;84.6;62.3;38.2;24.2;HWL,WHL,HLW,LHW;406927;True;;
424375009000101;2;84.6;62.3;6.2;4.4;all;424375;False;;
399142009002201;1;92.3;43.2;38.2;21.9;HWL,WHL,HLW,LHW;399142;True;;
411542009001201;2;114.1;16.0;8.6;2.7;all;411542;True;;
387239009000901;1;87.1;62.2;52.3;39.1;WLH,LWH;387239;True;;
411542009001101;2;87.0;16.0;4.8;1.8;all;411542;True;;
411542009001501;2;59.2;16.0;6.6;0.9;all;411542;True;;
440849009000601;1;170.3;62.3;62.2;52.4;HWL,WHL,HLW,LHW;440849;True;;
406927009001901;1;87.1;62.3;62.2;36.3;HLW,LHW;406927;True;;
389970009000101;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;389970;True;;
415892009000501;1;92.3;87.1;62.2;50.6;HWL,WHL;415892;True;;
399825009001301;1;62.3;62.2;43.2;20.7;HWL,WHL,WLH,LWH;399825;True;;
406927009000501;1;62.3;62.2;43.2;20.7;HWL,WHL,WLH,LWH;406927;True;;
389970009000201;1;197.9;62.3;62.2;68.1;HWL,WHL,HLW,LHW;389970;True;;
405476009000301;1;225.5;62.3;62.2;78.8;HWL,WHL,HLW,LHW;405476;True;;
467246009000101;2;62.3;43.2;6.0;3.7;all;467246;False;;
399142009001801;1;211.7;62.2;42.3;99.9;HWL,WHL,WLH,LWH;399142;True;;
406927009003201;1;84.6;54.1;38.2;12.5;HWL,WHL,HLW,LHW;406927;True;;
405821009000601;2;53.0;48.8;11.0;6.0;all;405821;False;;
415892009001401;1;92.3;87.1;62.2;58.9;HWL,WHL;415892;True;;
465092009000201;2;128.2;16.0;8.6;2.2;all;465092;True;;
399825009000101;1;211.7;62.3;62.2;72.1;HWL,WHL,HLW,LHW;399825;True;;
399825009001201;1;102.3;87.1;62.2;57.7;HWL,WHL;399825;True;;
406927009002601;2;60.0;16.0;6.6;1.6;all;406927;True;;
400300009000401;1;84.6;82.3;38.3;30.4;HWL,WHL,HLW,LHW;400300;True;;
440843009004301;2;84.6;62.3;3.2;1.0;all;440843;False;;
411542009000101;1;87.1;62.3;62.2;36.3;HLW,LHW;411542;True;;
440849009001101;2;84.6;62.3;6.0;6.4;all;440849;False;;
399825009000801;2;70.8;62.3;6.0;3.7;all;399825;False;;
413969009001001;1;211.7;62.3;62.2;72.6;HWL,WHL,HLW,LHW;413969;True;;
406927009004001;1;96.3;62.2;45.7;32.3;HWL,WHL;406927;True;;
402733009001801;2;87.0;9.8;3.6;0.5;all;402733;True;;
402733009001301;2;70.8;62.3;6.0;3.7;all;402733;False;;
440948009000401;2;84.8;9.8;8.0;1.4;all;440948;True;;
406932009000801;2;59.2;16.0;6.6;0.9;all;406932;True;;
399142009000901;2;87.0;16.0;4.8;1.8;all;399142;True;;
405476009000701;1;122.3;84.6;38.2;42.5;HWL,WHL,HLW,LHW;405476;True;;
440843009000101;2;114.1;16.0;8.6;2.7;all;440843;True;;
440843009001001;1;102.3;87.1;62.2;49.7;HWL,WHL;440843;True;;
387239009001601;1;122.3;43.2;38.2;27.0;HWL,WHL,HLW,LHW;387239;True;;
406932009001301;1;92.3;87.1;62.2;57.4;HWL,WHL;406932;True;;
413969009001901;2;87.0;16.0;4.8;1.8;all;413969;True;;
405476009000501;1;122.3;87.1;62.2;67.7;HWL,WHL;405476;True;;
415892009001801;1;87.1;62.3;62.2;38.1;HLW,LHW;415892;True;;
409165009001501;1;62.2;52.3;43.2;12.7;WLH,LWH,HLW,LHW;409165;True;;
406932009000601;1;102.3;87.1;62.2;48.4;HWL,WHL;406932;True;;
440843009000601;2;70.8;62.3;6.0;3.7;all;440843;False;;
402733009002401;2;62.3;15.6;6.0;0.9;all;402733;False;;
399142009001101;1;92.3;87.1;62.2;53.8;HWL,WHL;399142;True;;
415892009000701;2;81.5;62.3;6.0;6.0;all;415892;False;;
440849009001401;1;87.1;62.3;62.2;37.0;HLW,LHW;440849;True;;
406932009001601;1;122.3;43.2;38.2;27.0;HWL,WHL,HLW,LHW;406932;True;;
399825009000201;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;399825;True;;
415892009001201;1;122.3;57.0;38.2;31.0;HWL,WHL,HLW,LHW;415892;True;;
406927009000701;1;87.1;62.2;54.1;16.4;WLH,LWH;406927;True;;
402733009000101;1;92.3;87.1;62.2;41.4;HWL,WHL;402733;True;;
406932009000501;2;84.8;9.8;8.0;1.4;all;406932;True;;
389970009000701;1;87.1;62.3;62.2;36.3;HLW,LHW;389970;True;;
405476009000101;1;87.1;62.3;62.2;36.3;HLW,LHW;405476;True;;
440843009000901;2;84.8;9.8;8.0;1.4;all;440843;True;;
399142009001601;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;399142;True;;
409165009003101;1;102.3;57.0;38.2;26.0;HWL,WHL,HLW,LHW;409165;True;;
413969009002001;2;87.0;16.0;4.8;1.8;all;413969;True;;
430106009000201;2;87.0;16.0;4.8;1.8;all;430106;True;;
409165009005801;2;84.6;62.3;3.2;1.0;all;409165;False;;
389970009001401;2;84.8;9.8;8.0;1.4;all;389970;True;;
409165009000401;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;409165;True;;
443997009000701;1;87.1;62.3;62.2;27.7;HLW,LHW;443997;True;;
413969009000201;1;92.3;87.1;62.2;57.4;HWL,WHL;413969;True;;
406927009001501;1;92.3;87.1;62.2;57.4;HWL,WHL;406927;True;;
440849009002501;1;92.3;87.1;67.2;41.3;HWL,WHL;440849;True;;
406932009001501;1;92.3;57.0;38.2;22.0;HWL,WHL,HLW,LHW;406932;True;;
440843009002001;2;84.8;9.8;8.0;1.4;all;440843;True;;
406927009003901;1;96.3;62.2;45.7;32.3;HWL,WHL;406927;True;;
413969009001101;1;102.3;87.1;62.2;48.4;HWL,WHL;413969;True;;
