id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
414196009001701;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;414196;True;;
391463009000801;1;87.1;67.2;62.3;37.3;WLH,LWH;391463;True;;
414196009001601;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;414196;True;;
391463009005901;2;98.4;62.3;6.0;5.1;all;391463;False;;
409172009000901;2;85.0;63.1;3.2;5.3;all;409172;False;;
391463009001201;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;391463;True;;
414196009002101;1;87.1;62.2;42.3;22.3;WLH,LWH;414196;True;;
409283009000501;2;62.3;15.6;6.0;0.9;all;409283;False;;
409172009001101;1;102.3;87.1;62.2;60.1;HWL,WHL;409172;True;;
409283009000701;2;70.8;62.3;6.0;3.7;all;409283;False;;
409125009000601;2;65.0;47.5;3.2;3.7;all;409125;False;;
409125009000801;1;87.1;62.3;62.2;27.7;HLW,LHW;409125;True;;
409125009000201;1;197.9;62.3;62.2;69.3;HWL,WHL,HLW,LHW;409125;True;;
414196009002301;1;62.3;43.2;38.2;16.7;HWL,WHL,HLW,LHW;414196;True;;
414196009003301;2;84.8;9.8;8.0;1.4;all;414196;True;;
391463009002001;1;98.4;62.3;38.2;29.2;HWL,WHL,HLW,LHW;391463;True;;
414196009002001;1;87.1;62.2;42.3;22.3;WLH,LWH;414196;True;;
409125009000701;2;70.8;62.3;6.0;3.7;all;409125;False;;
414196009001501;1;87.1;62.2;32.3;27.2;WLH,LWH;414196;True;;
409172009001601;1;92.3;87.1;62.2;41.8;HWL,WHL;409172;True;;
414196009002401;1;102.3;43.2;38.2;22.3;HWL,WHL,HLW,LHW;414196;True;;
409172009000601;2;70.8;62.3;6.0;3.7;all;409172;False;;
409125009001301;2;87.0;16.0;4.8;1.8;all;409125;True;;
409172009000501;2;65.0;47.5;3.2;3.7;all;409172;False;;
409172009002201;1;62.3;57.0;38.2;17.5;HWL,WHL,HLW,LHW;409172;True;;
409125009001201;1;62.3;57.0;38.2;18.7;HWL,WHL,HLW,LHW;409125;True;;
391463009004901;2;100.6;16.0;6.6;1.4;all;391463;True;;
462922009000201;2;84.6;47.3;6.0;4.7;all;462922;False;;
409172009001301;1;208.8;62.2;32.3;58.1;HWL,WHL,WLH,LWH;409172;True;;
409172009000101;1;102.3;87.1;62.2;49.1;HWL,WHL;409172;True;;
391463009001601;1;62.3;62.2;43.2;20.7;HWL,WHL,WLH,LWH;391463;True;;
414196009000501;2;87.0;16.0;4.8;1.8;all;414196;True;;
409172009001201;1;211.7;62.3;62.2;67.5;HWL,WHL,HLW,LHW;409172;True;;
409283009001501;1;84.6;62.3;38.2;24.7;HWL,WHL,HLW,LHW;409283;True;;
409283009000901;1;62.3;57.0;38.2;17.5;HWL,WHL,HLW,LHW;409283;True;;
391463009002401;2;100.6;16.0;6.6;1.4;all;391463;True;;
391463009004601;1;87.1;62.2;42.3;41.0;WLH,LWH;391463;True;;
409172009002001;1;62.3;43.2;38.2;15.1;HWL,WHL,HLW,LHW;409172;True;;
391463009000301;2;84.6;62.3;6.0;6.4;all;391463;False;;
409283009000101;1;87.1;82.3;62.2;50.8;HLW,LHW;409283;True;;
409172009001701;1;67.3;38.2;29.4;15.0;HWL,WHL,WLH,LWH;409172;True;;
409283009000301;1;87.1;62.3;62.2;27.7;HLW,LHW;409283;True;;
391463009000701;1;122.3;87.1;62.2;68.0;HWL,WHL;391463;True;;
409283009000601;2;65.0;47.5;3.2;3.7;all;409283;False;;
414196009003201;1;84.6;52.3;38.2;21.7;HWL,WHL,HLW,LHW;414196;True;;
414196009000601;2;70.8;62.3;6.0;3.7;all;414196;False;;
391463009005701;2;98.4;52.3;6.0;4.4;all;391463;False;;
391463009001701;1;70.8;36.2;32.3;14.2;HWL,WHL,WLH,LWH;391463;True;;
414196009001401;1;197.9;62.2;42.3;79.6;HWL,WHL,WLH,LWH;414196;True;;
414196009000101;1;62.3;62.2;25.4;20.3;HWL,WHL;414196;True;;
409283009001801;2;84.8;9.8;8.0;1.4;all;409283;True;;
391463009000901;1;102.3;87.1;62.2;47.7;HWL,WHL;391463;True;;
391463009004701;2;43.2;32.3;6.0;2.5;all;391463;False;;
414196009001301;1;102.3;87.1;62.2;60.1;HWL,WHL;414196;True;;
409283009001901;2;85.0;63.1;3.2;5.3;all;409283;False;;
409125009000301;1;87.1;82.3;62.2;50.8;HLW,LHW;409125;True;;
409125009000101;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;409125;True;;
409125009000501;2;62.3;15.6;6.0;0.9;all;409125;False;;
409283009001601;2;84.8;9.8;8.0;1.4;all;409283;True;;
409125009001001;1;82.3;57.0;38.2;22.8;HWL,WHL,HLW,LHW;409125;True;;
414196009001801;2;87.0;16.0;4.8;1.8;all;414196;True;;
391463009006001;2;62.3;57.0;6.0;3.7;all;391463;False;;
409172009001401;1;211.7;62.3;62.2;119.5;HWL,WHL,HLW,LHW;409172;True;;
409172009000201;1;87.1;62.3;62.2;27.7;HLW,LHW;409172;True;;
391463009005601;2;98.4;52.3;6.0;4.4;all;391463;False;;
409283009000801;1;62.3;57.0;38.2;17.5;HWL,WHL,HLW,LHW;409283;True;;
409125009001101;1;62.3;57.0;38.2;18.7;HWL,WHL,HLW,LHW;409125;True;;
462922009000401;1;92.3;87.1;62.2;41.3;HWL,WHL;462922;True;;
391463009004501;1;98.4;82.3;38.2;36.4;HWL,WHL,HLW,LHW;391463;True;;
391463009001101;1;167.4;62.2;32.3;60.3;HWL,WHL,WLH,LWH;391463;True;;
414196009002501;2;45.4;16.0;6.6;1.1;all;414196;True;;
409172009002301;1;57.0;52.3;38.2;15.5;HWL,WHL,HLW,LHW;409172;True;;
391463009001001;1;197.9;62.3;62.2;69.3;HWL,WHL,HLW,LHW;391463;True;;
409283009000201;1;87.1;62.3;62.2;28.8;HLW,LHW;409283;True;;
409125009001501;2;62.3;15.6;6.0;0.9;all;409125;False;;
414196009001201;1;102.3;87.1;62.2;48.4;HWL,WHL;414196;True;;
391463009002301;1;84.6;42.3;36.2;19.0;HWL,WHL,HLW,LHW;391463;True;;
391463009006501;2;62.3;43.2;6.0;3.7;all;391463;False;;
391463009009401;2;84.6;62.3;3.2;1.0;all;391463;False;;
391463009002201;1;98.4;82.3;38.2;36.4;HWL,WHL,HLW,LHW;391463;True;;
409172009000401;2;62.3;15.6;6.0;0.9;all;409172;False;;
391463009006201;2;98.4;42.3;6.0;3.7;all;391463;False;;
391463009002101;1;102.3;84.6;36.2;36.6;HWL,WHL,HLW,LHW;391463;True;;
391463009005801;1;156.5;62.3;60.2;61.2;HWL,WHL,HLW,LHW;391463;True;;
