id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
415755009000801;1;211.7;67.2;62.3;75.6;HWL,WHL,WLH,LWH;415755;True;;
415755009003701;1;92.3;87.1;62.3;41.8;HWL,WHL;415755;True;;
415755009002301;2;59.2;16.0;6.6;0.9;all;415755;True;;
415755009000401;2;84.6;62.3;6.0;6.4;all;415755;False;;
415755009003201;1;102.3;84.6;38.3;36.6;HWL,WHL,HLW,LHW;415755;True;;
415755009000201;1;92.3;87.1;62.2;57.4;HWL,WHL;415755;True;;
415755009003301;2;87.0;16.0;6.6;3.0;all;415755;True;;
415755009001801;2;31.6;16.0;4.8;0.5;all;415755;True;;
415755009001901;1;92.3;57.0;38.3;23.9;HWL,WHL,HLW,LHW;415755;True;;
415755009000601;1;87.1;62.3;62.2;36.3;HLW,LHW;415755;True;;
415755009002201;1;57.0;38.3;32.3;26.8;HWL,WHL,WLH,LWH;415755;True;;
415755009001201;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;415755;True;;
415755009003501;1;84.6;62.3;17.3;15.8;WLH,LWH;415755;True;;
415755009001501;1;62.3;38.2;29.4;11.0;HWL,WHL,WLH,LWH;415755;True;;
415755009000701;1;87.1;62.2;47.3;19.3;WLH,LWH;415755;True;;
415755009001601;1;67.2;45.3;29.4;6.2;WLH,LWH,HLW,LHW;415755;True;;
415755009003801;2;87.0;16.0;4.8;1.8;all;415755;True;;
415755009001101;1;67.2;45.3;29.4;6.2;WLH,LWH,HLW,LHW;415755;True;;
415755009001301;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;415755;True;;
415755009003601;1;87.1;62.3;32.3;26.9;WLH,LWH;415755;True;;
415755009001001;2;128.2;16.0;8.6;2.7;all;415755;True;;
415755009000101;1;102.3;87.1;62.2;46.5;HWL,WHL;415755;True;;
415755009000901;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;415755;True;;
415755009001401;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;415755;True;;
415755009002101;1;57.0;47.3;38.3;14.0;HWL,WHL,HLW,LHW;415755;True;;
415755009002001;1;57.0;47.3;38.3;14.0;HWL,WHL,HLW,LHW;415755;True;;
