id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
410561009001601;1;102.3;87.1;62.2;60.1;HWL,WHL;410561;True;;
410561009002201;1;82.3;70.8;38.2;27.4;HWL,WHL,HLW,LHW;410561;True;;
410561009002301;1;102.3;70.8;38.2;32.5;HWL,WHL,HLW,LHW;410561;True;;
410561009004001;1;62.2;42.3;29.4;11.0;WLH,LWH,HLW,LHW;410561;True;;
410561009004301;1;62.2;52.3;29.4;12.7;WLH,LWH,HLW,LHW;410561;True;;
427914009000101;2;92.3;43.2;6.0;4.6;all;427914;False;;
410561009003901;1;62.2;42.3;29.4;11.0;WLH,LWH,HLW,LHW;410561;True;;
458410009000201;2;62.3;15.6;6.0;0.9;all;458410;False;;
410561009004101;1;62.2;42.3;29.4;11.0;WLH,LWH,HLW,LHW;410561;True;;
410561009004601;2;31.6;16.0;4.8;0.5;all;410561;True;;
410561009001001;1;87.1;62.2;42.3;37.0;WLH,LWH;410561;True;;
458410009000301;2;62.3;29.4;6.0;3.7;all;458410;False;;
410561009003501;1;211.7;62.3;62.2;65.6;HWL,WHL,HLW,LHW;410561;True;;
410561009000701;2;85.0;63.1;3.2;5.3;all;410561;False;;
410561009003801;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;410561;True;;
410561009000101;1;87.1;67.2;62.3;36.3;WLH,LWH;410561;True;;
410561009001101;1;87.1;62.2;52.3;39.1;WLH,LWH;410561;True;;
410561009004501;2;128.2;16.0;8.6;2.7;all;410561;True;;
410561009003701;1;62.3;62.2;29.4;14.4;HWL,WHL,WLH,LWH;410561;True;;
410561009001501;2;87.0;16.0;4.8;1.8;all;410561;True;;
410561009000601;2;87.0;16.0;4.8;1.8;all;410561;True;;
410561009001301;2;84.6;62.3;6.0;6.4;all;410561;False;;
410561009003601;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;410561;True;;
410561009000301;2;84.6;62.3;6.0;6.4;all;410561;False;;
410561009002101;1;82.3;70.8;38.2;27.4;HWL,WHL,HLW,LHW;410561;True;;
410561009001801;1;87.1;82.3;62.2;50.8;HLW,LHW;410561;True;;
410561009004401;1;62.2;52.3;29.4;12.7;WLH,LWH,HLW,LHW;410561;True;;
410561009000901;1;102.3;87.1;62.2;49.1;HWL,WHL;410561;True;;
410561009001701;1;87.1;82.3;62.2;50.8;HLW,LHW;410561;True;;
427914009000201;2;84.6;52.3;6.0;3.1;all;427914;False;;
410561009004201;1;62.2;42.3;29.4;11.0;WLH,LWH,HLW,LHW;410561;True;;
