id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
443273009000301;2;84.6;42.3;7.0;4.4;all;443273;False;;
443273009000201;2;84.6;42.3;7.0;4.4;all;443273;False;;
443273009000401;2;70.8;62.3;7.0;3.7;all;443273;False;;
443273009000601;2;84.6;62.3;7.0;4.4;all;443273;False;;
443273009000801;2;84.6;32.3;7.0;3.7;all;443273;False;;
404691009000201;1;92.3;57.0;38.2;23.9;HWL,WHL,HLW,LHW;404691;True;;
443273009001001;2;84.6;52.3;7.0;4.4;all;443273;False;;
443273009000101;2;84.6;62.3;7.0;4.4;all;443273;False;;
443273009000901;2;62.3;43.2;7.0;3.7;all;443273;False;;
443273009001201;2;92.3;29.4;7.0;4.6;all;443273;False;;
443273009001101;2;92.3;15.6;7.0;1.4;all;443273;False;;
443273009000701;2;112.2;32.3;7.0;6.5;all;443273;False;;
443273009001301;2;92.3;15.6;7.0;1.4;all;443273;False;;
404691009000101;1;92.3;87.1;62.2;46.5;HWL,WHL;404691;True;;
443273009001401;2;92.3;29.4;7.0;4.6;all;443273;False;;
443273009000501;2;112.2;62.3;7.0;6.2;all;443273;False;;
