id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
413385009001801;1;70.8;62.2;17.3;18.2;WLH,LWH;413385;True;;
413385009000201;2;70.8;47.3;6.0;2.9;all;413385;False;;
413385009001301;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;413385;True;;
413385009000601;1;92.3;73.3;62.2;50.2;HWL,WHL;413385;True;;
413385009001601;1;122.3;73.3;62.2;39.1;HWL,WHL;413385;True;;
413385009001401;1;122.3;43.2;38.2;24.0;HWL,WHL,HLW,LHW;413385;True;;
413385009001901;2;71.0;9.8;8.0;2.4;all;413385;True;;
413385009000401;1;92.3;73.3;62.2;42.7;HWL,WHL;413385;True;;
413385009001501;1;92.3;73.3;62.2;50.2;HWL,WHL;413385;True;;
