id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
419042009000201;2;126.0;62.3;6.0;6.4;all;419042;False;;
393789009000301;1;92.3;87.1;62.2;44.5;HWL,WHL;393789;True;;
393791009000801;2;59.2;16.0;4.6;0.5;all;393791;True;;
393793009001201;2;87.0;14.8;3.6;0.7;all;393793;True;;
415075009004201;2;53.0;48.8;17.5;6.0;all;415075;False;;
387316009000701;1;92.3;84.6;38.2;29.5;HWL,WHL,HLW,LHW;387316;True;;
395238009000601;2;70.8;62.3;6.0;3.7;all;395238;False;;
395238009002001;1;70.8;62.3;38.2;21.9;HWL,WHL,HLW,LHW;395238;True;;
395238009001201;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;395238;True;;
415075009003401;1;87.1;62.2;32.3;26.8;WLH,LWH;415075;True;;
415075009000101;2;87.0;16.0;4.8;1.8;all;415075;True;;
395238009001601;1;92.3;87.1;62.2;57.4;HWL,WHL;395238;True;;
410621009001001;1;211.7;67.2;62.3;75.6;HWL,WHL,WLH,LWH;410621;True;;
416411009000601;1;92.3;87.1;62.2;57.4;HWL,WHL;416411;True;;
415075009002501;2;128.2;16.0;8.6;2.7;all;415075;True;;
395238009001101;1;87.1;62.2;42.3;37.0;WLH,LWH;395238;True;;
393793009000101;1;102.3;87.1;67.2;49.4;HWL,WHL;393793;True;;
415084009003101;2;62.3;43.2;6.0;3.7;all;415084;False;;
393789009001101;1;87.1;62.2;32.3;27.3;WLH,LWH;393789;True;;
415075009004101;2;53.0;48.8;17.5;6.0;all;415075;False;;
395238009000201;1;92.3;87.1;62.2;41.8;HWL,WHL;395238;True;;
387316009000101;1;156.5;62.3;62.2;61.2;HWL,WHL,HLW,LHW;387316;True;;
410621009001901;1;122.3;87.1;62.2;68.6;HWL,WHL;410621;True;;
395238009001301;1;211.7;67.2;62.3;75.6;HWL,WHL,WLH,LWH;395238;True;;
393797009001201;2;87.0;14.8;3.6;0.7;all;393797;True;;
393791009000601;1;82.3;57.0;38.2;21.9;HWL,WHL,HLW,LHW;393791;True;;
393797009000101;1;102.3;87.1;67.2;49.4;HWL,WHL;393797;True;;
419042009000601;1;122.3;87.1;62.2;69.4;HWL,WHL;419042;True;;
415084009001201;1;122.3;43.2;38.2;27.0;HWL,WHL,HLW,LHW;415084;True;;
387316009000901;1;102.3;84.6;38.2;35.9;HWL,WHL,HLW,LHW;387316;True;;
415084009001801;1;87.1;82.3;62.2;38.6;HLW,LHW;415084;True;;
466177009000101;2;62.3;15.6;6.0;0.7;all;466177;False;;
393795009000201;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;393795;True;;
419042009003501;2;84.6;62.3;3.2;1.0;all;419042;False;;
