id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
407417009001201;1;92.3;84.6;38.2;33.2;HWL,WHL,HLW,LHW;407417;True;;
414304009000701;2;70.8;62.3;7.0;3.7;all;414304;False;;
414306009002501;1;87.1;62.2;52.3;36.3;WLH,LWH;414306;True;;
411829009001601;2;87.0;16.0;4.8;1.8;all;411829;True;;
411829009000901;1;87.1;82.3;62.3;50.8;HLW,LHW;411829;True;;
406383009000501;1;62.3;62.2;43.2;14.4;HWL,WHL,WLH,LWH;406383;True;;
406383009000601;1;62.3;62.2;43.2;14.4;HWL,WHL,WLH,LWH;406383;True;;
413301009001401;1;62.3;43.2;38.2;15.1;HWL,WHL,HLW,LHW;413301;True;;
407168009000901;1;62.3;57.0;38.2;17.6;HWL,WHL,HLW,LHW;407168;True;;
414306009001801;1;87.1;67.2;42.3;22.3;WLH,LWH;414306;True;;
414974009001801;1;73.3;62.3;62.2;25.0;HLW,LHW;414974;True;;
413301009001801;1;92.3;43.2;38.2;21.9;HWL,WHL,HLW,LHW;413301;True;;
460139009000101;2;62.3;37.7;6.0;2.7;all;460139;False;;
398831009002301;2;100.6;16.0;6.6;1.4;all;398831;True;;
451694009000101;2;32.3;15.6;6.1;0.3;all;451694;False;;
407800009000201;1;87.1;82.3;62.2;43.3;HLW,LHW;407800;True;;
407318009002101;2;59.2;16.0;6.6;0.9;all;407318;True;;
411829009001501;1;92.3;70.8;38.2;30.5;HWL,WHL,HLW,LHW;411829;True;;
406490009000401;2;62.3;29.4;6.0;3.7;all;406490;False;;
407168009002301;2;45.4;16.0;6.6;1.1;all;407168;True;;
414306009002101;2;73.0;16.0;6.6;0.9;all;414306;True;;
410906009000901;2;73.0;16.0;6.6;0.9;all;410906;True;;
414974009000301;1;82.3;73.3;62.2;47.3;HWL,WHL;414974;True;;
407318009003001;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;407318;True;;
414304009000901;1;84.6;63.2;17.3;21.5;WLH,LWH;414304;True;;
407800009000701;2;47.3;15.6;6.0;0.3;all;407800;False;;
414294009000501;2;73.0;16.0;4.8;0.7;all;414294;True;;
406490009000501;2;62.3;10.5;6.0;0.5;all;406490;False;;
407046009002501;1;97.3;38.2;29.4;15.0;HWL,WHL,WLH,LWH;407046;True;;
407417009001301;1;102.3;87.1;62.2;41.8;HWL,WHL;407417;True;;
414806009001101;1;87.1;62.3;62.2;28.8;HLW,LHW;414806;True;;
413301009001701;1;62.3;43.2;38.2;16.7;HWL,WHL,HLW,LHW;413301;True;;
414867009002801;2;84.8;9.8;8.0;1.4;all;414867;True;;
412918009001801;1;92.3;87.1;62.3;44.2;HWL,WHL;412918;True;;
410906009001101;1;82.3;70.8;38.2;27.4;HWL,WHL,HLW,LHW;410906;True;;
407417009000201;2;84.6;62.3;6.0;6.4;all;407417;False;;
411829009001001;1;70.8;42.3;38.2;17.0;HWL,WHL,HLW,LHW;411829;True;;
410316009001001;1;62.3;62.2;43.2;20.7;HWL,WHL,WLH,LWH;410316;True;;
407318009002001;2;87.0;16.0;4.8;1.8;all;407318;True;;
414306009002001;1;70.8;62.3;38.2;21.5;HWL,WHL,HLW,LHW;414306;True;;
414867009002401;2;84.6;62.3;6.0;6.4;all;414867;False;;
401134009000701;1;92.3;87.1;62.2;57.4;HWL,WHL;401134;True;;
401134009000801;1;87.1;62.3;62.2;31.6;HLW,LHW;401134;True;;
414304009000101;1;102.3;87.1;63.2;40.0;HWL,WHL;414304;True;;
406490009000301;2;62.3;29.4;6.0;3.7;all;406490;False;;
413301009001601;1;92.3;43.2;38.2;21.9;HWL,WHL,HLW,LHW;413301;True;;
414867009000201;1;87.1;62.3;62.2;28.8;HLW,LHW;414867;True;;
414806009000601;1;92.3;87.1;62.2;57.4;HWL,WHL;414806;True;;
401134009002501;2;73.0;16.0;6.6;0.9;all;401134;True;;
407168009001501;1;102.3;43.2;38.2;22.8;HWL,WHL,HLW,LHW;407168;True;;
410338009002501;1;102.3;84.6;38.2;36.6;HWL,WHL,HLW,LHW;410338;True;;
398831009008901;2;84.6;62.3;3.2;1.0;all;398831;False;;
414974009000501;2;73.0;16.0;4.8;0.7;all;414974;True;;
407318009001001;1;92.3;87.1;62.2;57.4;HWL,WHL;407318;True;;
407168009001101;1;102.3;57.0;38.2;25.9;HWL,WHL,HLW,LHW;407168;True;;
406383009001201;2;84.8;6.8;5.0;1.1;all;406383;True;;
412918009001901;2;114.1;16.0;8.6;2.7;all;412918;True;;
407408009002301;1;122.3;87.1;62.2;71.2;HWL,WHL;407408;True;;
407318009001301;1;92.3;57.0;38.2;25.2;HWL,WHL,HLW,LHW;407318;True;;
414304009001601;2;59.2;16.0;6.6;0.9;all;414304;True;;
417333009000701;1;70.8;38.2;32.3;14.2;HWL,WHL,WLH,LWH;417333;True;;
414974009001701;2;73.0;16.0;4.8;0.7;all;414974;True;;
414867009001901;2;45.4;16.0;6.6;1.1;all;414867;True;;
412918009000801;2;84.6;62.3;6.1;6.4;all;412918;False;;
413301009000401;1;92.3;87.1;62.2;35.8;HWL,WHL;413301;True;;
410338009000901;1;67.3;38.2;29.4;15.0;HWL,WHL,WLH,LWH;410338;True;;
401134009003201;1;92.3;71.1;38.2;59.3;HWL,WHL;401134;True;;
414306009000101;2;70.8;62.3;6.0;3.7;all;414306;False;;
401134009001101;2;128.2;16.0;8.6;2.7;all;401134;True;;
414867009001001;1;70.8;52.3;38.2;19.3;HWL,WHL,HLW,LHW;414867;True;;
445842009000101;2;117.5;52.7;0.3;1.0;all;445842;False;;
414867009000101;1;87.1;67.2;47.3;33.1;WLH,LWH;414867;True;;
401134009001401;1;70.8;62.3;38.2;22.2;HWL,WHL,HLW,LHW;401134;True;;
398831009003701;2;83.7;16.0;4.8;2.2;all;398831;True;;
407168009001001;1;62.3;57.0;38.2;17.5;HWL,WHL,HLW,LHW;407168;True;;
406490009001001;2;126.0;42.3;6.0;4.8;all;406490;False;;
463354009000101;1;102.3;38.2;29.4;16.0;HWL,WHL,WLH,LWH;463354;True;;
410338009001201;1;225.5;62.2;42.3;90.6;HWL,WHL,WLH,LWH;410338;True;;
464540009000201;2;81.3;53.0;21.0;6.0;all;464540;False;;
398831009002201;2;60.0;16.0;6.6;1.6;all;398831;True;;
407318009000301;1;92.3;87.1;62.2;57.4;HWL,WHL;407318;True;;
407417009000601;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;407417;True;;
414806009001201;1;87.1;62.2;32.3;27.2;WLH,LWH;414806;True;;
464540009000101;2;84.8;9.8;8.0;1.4;all;464540;True;;
407168009002001;2;59.2;16.0;6.6;0.9;all;407168;True;;
410338009000301;1;87.1;62.3;62.2;37.0;HLW,LHW;410338;True;;
407168009002901;1;62.3;57.0;38.2;17.5;HWL,WHL,HLW,LHW;407168;True;;
407046009002701;2;128.2;16.0;8.6;2.7;all;407046;True;;
398831009005301;2;53.0;48.8;11.0;6.0;all;398831;False;;
407046009000901;1;70.8;47.3;38.7;21.9;HWL,WHL,HLW,LHW;407046;True;;
414974009002101;1;73.3;62.3;62.2;31.1;HLW,LHW;414974;True;;
407046009002201;2;84.6;62.3;6.0;6.4;all;407046;False;;
414306009001601;1;92.3;87.1;62.2;57.4;HWL,WHL;414306;True;;
407318009000801;1;208.8;62.3;62.2;61.6;HWL,WHL,HLW,LHW;407318;True;;
398831009001901;1;87.1;62.3;62.2;29.5;HLW,LHW;398831;True;;
406490009000201;2;57.0;42.3;6.0;2.5;all;406490;False;;
410906009000801;1;70.8;62.3;38.2;30.3;HWL,WHL,HLW,LHW;410906;True;;
407417009000401;1;112.3;87.1;62.2;74.5;HWL,WHL;407417;True;;
407046009001001;1;92.3;87.1;62.2;56.6;HWL,WHL;407046;True;;
410338009000201;2;84.8;9.8;8.0;1.4;all;410338;True;;
407417009000501;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;407417;True;;
413301009002501;2;62.3;15.6;6.0;0.7;all;413301;False;;
414304009002201;1;82.3;57.0;39.2;21.9;HWL,WHL,HLW,LHW;414304;True;;
414306009001901;1;70.8;62.3;38.2;30.3;HWL,WHL,HLW,LHW;414306;True;;
407046009003101;1;92.3;87.1;62.2;44.5;HWL,WHL;407046;True;;
414306009000701;2;87.0;16.0;4.8;1.8;all;414306;True;;
412918009000301;1;197.9;62.3;62.3;69.0;HWL,WHL,WLH,LWH;412918;True;;
414306009000901;1;87.1;62.3;62.2;28.8;HLW,LHW;414306;True;;
412918009001001;1;92.3;87.1;62.3;53.8;HWL,WHL;412918;True;;
407168009001301;1;57.0;52.3;38.2;15.5;HWL,WHL,HLW,LHW;407168;True;;
414304009000401;2;62.3;15.6;6.0;0.9;all;414304;False;;
401134009002401;1;70.8;62.3;38.2;21.9;HWL,WHL,HLW,LHW;401134;True;;
401134009001601;2;87.0;16.0;4.8;1.8;all;401134;True;;
462914009000201;1;211.7;63.2;42.3;61.4;HWL,WHL,WLH,LWH;462914;True;;
398831009003601;1;70.8;52.3;38.2;19.3;HWL,WHL,HLW,LHW;398831;True;;
407408009002201;1;87.1;62.3;62.2;42.8;HLW,LHW;407408;True;;
407046009001101;1;211.7;62.3;62.2;75.6;HWL,WHL,HLW,LHW;407046;True;;
412918009002501;1;87.1;62.3;47.3;38.0;WLH,LWH;412918;True;;
