id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
404149009000101;2;70.8;62.3;6.0;3.7;all;404149;False;;
399648009000801;1;82.3;73.3;62.2;47.2;HWL,WHL;399648;True;;
466738009000101;2;70.8;52.3;6.0;3.1;all;466738;False;;
399648009000201;2;128.2;16.0;8.6;2.7;all;399648;True;;
399648009001701;1;73.3;62.3;62.2;33.7;HLW,LHW;399648;True;;
404149009001201;2;59.2;16.0;6.6;0.9;all;404149;True;;
404149009001601;1;87.1;82.3;62.2;50.7;HLW,LHW;404149;True;;
404149009001801;2;73.0;16.0;4.8;0.7;all;404149;True;;
399648009002401;1;211.7;62.3;62.2;65.6;HWL,WHL,HLW,LHW;399648;True;;
404149009002201;1;197.9;62.3;62.2;62.4;HWL,WHL,HLW,LHW;404149;True;;
399648009002101;2;73.0;16.0;4.8;0.7;all;399648;True;;
399648009000901;1;73.3;62.2;52.3;36.1;WLH,LWH;399648;True;;
404149009001501;1;87.1;62.2;52.3;36.3;WLH,LWH;404149;True;;
462194009000101;2;126.0;62.3;6.0;6.4;all;462194;False;;
399648009000401;2;67.3;15.6;8.0;1.0;all;399648;False;;
399648009000701;2;70.8;62.3;6.0;3.7;all;399648;False;;
399648009000601;1;102.3;73.3;62.2;53.7;HWL,WHL;399648;True;;
404149009000301;2;62.3;15.6;6.0;0.9;all;404149;False;;
399648009001501;1;70.8;52.3;38.2;19.2;HWL,WHL,HLW,LHW;399648;True;;
404149009000701;1;102.3;87.1;62.2;57.7;HWL,WHL;404149;True;;
464563009000101;1;211.7;62.3;60.2;58.2;HWL,WHL,HLW,LHW;464563;True;;
404149009000501;2;87.0;16.0;4.8;1.8;all;404149;True;;
399648009000301;1;67.3;38.2;29.4;15.0;HWL,WHL,WLH,LWH;399648;True;;
399648009001601;1;70.8;52.3;38.2;19.2;HWL,WHL,HLW,LHW;399648;True;;
404149009002901;1;82.3;57.0;38.2;22.2;HWL,WHL,HLW,LHW;404149;True;;
399648009000501;1;73.3;62.2;32.3;25.2;WLH,LWH;399648;True;;
399648009002201;2;73.0;16.0;4.8;0.7;all;399648;True;;
399648009000101;1;211.7;62.3;62.2;119.5;HWL,WHL,HLW,LHW;399648;True;;
399648009001401;1;70.8;62.3;38.2;17.2;HLW,LHW;399648;True;;
404149009001901;1;73.3;62.2;42.3;20.0;WLH,LWH;404149;True;;
399648009002001;2;73.0;16.0;4.8;0.7;all;399648;True;;
404149009000401;2;65.0;47.5;3.2;3.7;all;404149;False;;
404149009000901;2;114.1;16.0;8.6;2.7;all;404149;True;;
404149009002001;1;73.3;62.2;42.3;20.0;WLH,LWH;404149;True;;
464563009000201;2;82.3;43.2;6.0;4.0;all;464563;False;;
404149009000601;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;404149;True;;
466737009000101;2;70.8;52.3;6.0;3.1;all;466737;False;;
399648009001901;1;102.3;73.3;62.2;41.0;HWL,WHL;399648;True;;
