id;priority;length;width;height;weight;allowed_orientations;client_id;stackable;designation;location
397745009000301;2;62.3;15.6;6.0;0.9;all;397745;False;;
394084009000501;1;92.3;87.1;62.2;44.5;HWL,WHL;394084;True;;
397745009001601;1;195.0;62.3;62.2;59.5;HWL,WHL,HLW,LHW;397745;True;;
408990009000601;1;92.3;87.1;62.2;57.4;HWL,WHL;408990;True;;
394084009003001;1;84.6;82.3;38.2;31.2;HWL,WHL,HLW,LHW;394084;True;;
397745009002001;2;114.1;16.0;8.6;2.7;all;397745;True;;
395368009000501;1;170.3;62.3;62.3;68.6;HWL,WHL,WLH,LWH;395368;True;;
394084009001501;1;102.3;43.2;38.2;22.8;HWL,WHL,HLW,LHW;394084;True;;
395368009001901;1;98.4;62.3;38.2;28.9;HWL,WHL,HLW,LHW;395368;True;;
394084009002301;1;84.6;82.3;38.2;31.4;HWL,WHL,HLW,LHW;394084;True;;
395368009001301;1;87.1;62.3;62.3;42.8;WLH,LWH;395368;True;;
394084009001201;1;87.1;62.2;42.3;27.6;WLH,LWH;394084;True;;
408990009000101;1;197.9;62.3;62.2;68.1;HWL,WHL,HLW,LHW;408990;True;;
394084009001601;1;84.6;82.3;38.2;31.4;HWL,WHL,HLW,LHW;394084;True;;
394084009003201;1;102.3;87.1;62.2;53.4;HWL,WHL;394084;True;;
394084009002401;2;87.0;16.0;6.6;1.5;all;394084;True;;
397745009000501;1;122.3;87.1;62.2;68.0;HWL,WHL;397745;True;;
394084009000701;2;62.3;15.6;6.0;0.9;all;394084;False;;
394084009001701;1;84.6;62.2;17.3;21.5;WLH,LWH;394084;True;;
442440009000101;2;62.3;15.6;6.0;0.9;all;442440;False;;
394084009000401;1;92.3;87.1;62.2;45.5;HWL,WHL;394084;True;;
395368009000401;1;92.3;87.1;62.3;53.8;HWL,WHL;395368;True;;
394084009000901;2;62.3;57.0;6.0;2.9;all;394084;False;;
394084009001301;2;87.0;16.0;4.8;1.8;all;394084;True;;
394084009001401;1;92.3;84.6;38.2;34.1;HWL,WHL,HLW,LHW;394084;True;;
395368009001201;2;84.8;9.8;8.0;1.4;all;395368;True;;
397745009000901;1;87.1;62.3;62.2;37.0;HLW,LHW;397745;True;;
397745009001801;1;197.9;62.3;62.2;85.7;HWL,WHL,HLW,LHW;397745;True;;
394084009001001;1;87.1;82.3;62.2;50.7;HLW,LHW;394084;True;;
408990009000201;1;197.9;62.3;62.2;112.5;HWL,WHL,HLW,LHW;408990;True;;
408990009000701;1;92.3;87.1;62.2;44.5;HWL,WHL;408990;True;;
394084009003101;1;84.6;52.3;38.2;21.8;HWL,WHL,HLW,LHW;394084;True;;
397745009001901;1;197.9;62.2;42.3;56.5;HWL,WHL,WLH,LWH;397745;True;;
397745009002201;1;197.9;62.3;62.2;85.7;HWL,WHL,HLW,LHW;397745;True;;
397745009001701;1;197.9;62.2;42.3;56.5;HWL,WHL,WLH,LWH;397745;True;;
397745009000401;2;65.0;47.5;3.2;3.7;all;397745;False;;
397745009002401;1;84.6;82.3;38.2;30.4;HWL,WHL,HLW,LHW;397745;True;;
468399009000101;2;81.4;57.5;0.3;2.0;all;468399;False;;
397745009000701;1;87.1;62.2;32.3;28.3;WLH,LWH;397745;True;;
394084009000801;2;65.0;47.5;3.2;3.7;all;394084;False;;
395368009000101;1;87.1;82.3;62.3;33.2;HLW,LHW;395368;True;;
397745009001001;2;70.8;62.3;6.0;3.7;all;397745;False;;
397745009000601;1;92.3;87.1;62.2;50.4;HWL,WHL;397745;True;;
394084009000301;1;225.5;67.2;62.3;77.6;HWL,WHL,WLH,LWH;394084;True;;
394084009001101;1;87.1;62.3;62.2;42.8;HLW,LHW;394084;True;;
395368009000301;2;84.8;9.8;8.0;1.4;all;395368;True;;
397745009000101;1;197.9;62.3;62.2;68.1;HWL,WHL,HLW,LHW;397745;True;;
397745009000801;1;92.3;87.1;62.2;57.4;HWL,WHL;397745;True;;
408990009000501;1;92.3;87.1;62.2;57.4;HWL,WHL;408990;True;;
395368009000201;1;87.1;62.3;42.3;22.3;WLH,LWH;395368;True;;
395368009001101;1;84.6;82.3;38.3;30.4;HWL,WHL,HLW,LHW;395368;True;;
395368009001001;1;84.6;82.3;38.3;30.4;HWL,WHL,HLW,LHW;395368;True;;
394084009003601;2;87.0;16.0;4.8;1.8;all;394084;True;;
